Year,gdp_usd,gdp_growth,gdp_per_capita,cpi_inflation,unemployment,population,current_account,exports_pct_gdp,fdi_inflows,govt_debt_pct_gdp,Country,Country_Code
2003,88250885550.2626,4.72804204913962,21913.7081719961,1.75357444759557,4.745,4027200.0,-2.40599179153862,29.8397254017245,-3.81179323818466,48.2453384728239,New Zealand,NZ
2004,103905210084.034,4.08796484025709,25420.234882944,2.29024902847571,4.005,4087500.0,-4.50791009901216,29.5434106069527,2.2326303912504,43.8675166117793,New Zealand,NZ
2005,114720129550.095,3.35292760405062,27751.0654708859,3.03702332617012,3.807,4133900.0,-6.99536794869389,28.2851654320382,1.66201517661775,44.1698490827743,New Zealand,NZ
2006,111538810712.665,2.77978059105617,26654.5932018985,3.36540196171993,3.857,4184600.0,-7.06517341361543,29.6086137531685,2.61132933725814,42.9524894769889,New Zealand,NZ
2007,137188946865.584,3.05641638984955,32479.9817381467,2.37614310290659,3.661,4223800.0,-6.79701754359096,29.2731139479196,3.16024444752482,36.9753526219646,New Zealand,NZ
2008,133437126590.286,-1.01703846933975,31324.7397977102,3.9589493731206,4.167,4259800.0,-7.69181610885173,32.0052043552236,1.94246279372292,36.0132953366238,New Zealand,NZ
2009,121663439315.385,-0.0374661120713,28276.7255416225,2.1156511055456,6.121,4302600.0,-2.47419947301186,28.6654584101329,-0.0430577448192459,31.8653341616565,New Zealand,NZ
2010,146887902524.052,1.45863634911349,33761.9009639947,2.30202385958572,6.557,4350700.0,-2.33469330577729,30.197296130602,0.194915236759354,34.7227798053528,New Zealand,NZ
2011,168484908960.078,2.09349621669912,38431.7766788499,4.0279066739204,6.491,4384000.0,-2.86247732029099,30.3601069067379,0.818121298166467,48.0816617433301,New Zealand,NZ
2012,176560711239.147,2.36630664656174,40053.6991536369,1.05991318445632,6.931,4408100.0,-3.90081294586841,28.8015197819443,2.17878824315978,51.5541055220579,New Zealand,NZ
2013,191012364176.878,2.58954199031598,43000.4646849189,1.13442266445817,5.839,4442100.0,-3.05577074462661,28.7976232386808,-0.0363955159235945,46.4245970754158,New Zealand,NZ
2014,201518402787.38,3.82638491760299,44618.266973847,1.227507505974,5.428,4516500.0,-3.08852510613802,27.9544041792052,1.61353184490057,43.8708941737301,New Zealand,NZ
2015,178224167087.99,3.69036908387233,38665.3723018158,0.292704628136101,5.415,4609400.0,-2.6162133105434,27.9337478332662,-0.0411688255414608,42.9013651890488,New Zealand,NZ
2016,189100085275.23,3.77911068354334,40113.7195382428,0.646240284454524,5.147,4714100.0,-2.15354137286067,26.6113743203496,1.0619303911252,41.3592419573932,New Zealand,NZ
2017,206745969246.073,3.37873219470765,42950.3841711138,1.85078767452536,4.736,4813600.0,-2.91839840958751,27.5634416584186,1.15602540847251,38.629234026174,New Zealand,NZ
2018,211985631173.205,3.47058203866328,43257.0769238879,1.59829703801696,4.335,4900600.0,-4.15932869648256,27.8656152284463,1.15882897654923,36.6067773375025,New Zealand,NZ
2019,213006341101.869,2.31747144034802,42855.831861632,1.61963190184048,4.109,4970300.0,-2.82165942136874,27.3298341875002,1.44357026927529,32.7713136024397,New Zealand,NZ
2020,213029554653.687,-0.307246896026541,41997.7830324279,1.71456170007245,4.595,5072400.0,-1.08410494847097,21.6971482843436,2.25342351216777,45.7367082288191,New Zealand,NZ
2021,253977931814.967,4.53540565716095,49950.4251691316,3.94112060778728,3.776,5084600.0,-5.6435958635433,22.3098859845046,2.08859937451458,51.305380228031,New Zealand,NZ
2022,249509991440.438,3.49638686458842,49099.7090423358,7.17222476016441,3.299,5081700.0,-8.75909130046907,24.0473873191656,3.93040138256791,53.9638193955627,New Zealand,NZ
2023,255194972673.122,1.39425181563566,49075.9562832927,5.73316283034957,3.734,5200000.0,-6.17823205561682,23.7150117429638,1.72217162155153,50.1080559619605,New Zealand,NZ
2024,260172385097.616,1.28862004711685,49205.1792146792,2.92279782301957,4.724,5287500.0,-4.65310184058939,24.805238610326,0.676410624636643,52.2498447259151,New Zealand,NZ
2025,,,,,5.076,,,,,,New Zealand,NZ
